id_client,region,sexe,age,revenu_estime_gnf,anciennete_mois,type_abonnement,forfait_international,messagerie_vocale,recharge_mensuelle_moy_gnf,moyen_paiement,minutes_jour,minutes_nuit,minutes_internationales,donnees_mo,nombre_sms,appels_service_client,pannes_signalees_30j,retard_paiement_jours,retour_client,resiliation
CLI00041,Boké,Femme,44,532000,20,Postpayé,Oui,Oui,43000,Espèces,200,83,12,3462,55,0,1,3,"Je pense changer d'operateur, trop de pannes.",Oui
CLI00042,Kindia,Femme,55,1460000,12,Postpayé,Non,Oui,100000,Orange Money,231,37,2,2611,30,1,0,0,Service client reactif et efficace.,Non
CLI00043,Mamou,Femme,33,356000,4,Prépayé,Non,Oui,26000,Orange Money,250,123,2,2098,1,0,0,0,Service client reactif et efficace.,Non
CLI00044,Kindia,Femme,27,685000,33,Prépayé,Non,Oui,26000,Carte bancaire,144,110,1,1649,15,0,0,0,Service client reactif et efficace.,Non
CLI00045,Boké,Homme,50,1222000,36,Illimité,Non,Oui,68000,Virement bancaire,104,98,0,2942,4,3,2,0,Tres decu par la qualite du reseau en ce moment.,Oui
CLI00046,Faranah,Femme,30,482000,2,Prépayé,Non,Oui,33000,Orange Money,202,93,7,3636,4,2,0,0,Aucune reponse a mes reclamations depuis un mois.,Oui
CLI00047,Kindia,Femme,47,1259000,12,Prépayé,Non,Non,62000,Espèces,230,122,3,2362,12,0,0,0,Service correct dans l'ensemble.,Non
CLI00048,N'Zérékoré,Homme,28,674000,2,Prépayé,Non,Oui,44000,Orange Money,256,13,1,700,48,3,1,5,Facturation incorrecte plusieurs fois de suite.,Oui
CLI00049,Conakry,Femme,29,763000,61,Postpayé,Non,Oui,46000,Carte bancaire,229,156,4,2391,49,0,2,6,Service client reactif et efficace.,Non
CLI00050,Faranah,Homme,37,556000,6,Prépayé,Non,Non,22000,Orange Money,131,104,3,4809,67,0,1,1,"Utilisation standard, pas de souci majeur.",Non
CLI00051,Boké,Homme,38,534000,42,Postpayé,Oui,Non,35000,Orange Money,217,64,86,5673,49,2,1,2,Offres interessantes et service fiable.,Non
CLI00052,Boké,Homme,26,794000,48,Postpayé,Non,Non,70000,Orange Money,171,100,1,2979,6,0,1,0,Content de la couverture reseau dans ma zone.,Non
CLI00053,Mamou,Femme,52,1316000,57,Postpayé,Non,Oui,108000,Orange Money,100,105,1,3605,23,2,0,0,Service correct dans l'ensemble.,Non
CLI00054,Labé,Homme,30,1047000,10,Prépayé,Non,Oui,85000,Espèces,170,38,7,2283,42,3,0,0,Content de la couverture reseau dans ma zone.,Non
CLI00055,Kindia,Femme,42,675000,8,Postpayé,Non,Oui,39000,Orange Money,198,36,1,5445,24,2,0,3,Tres satisfait du reseau et du service.,Non
CLI00056,Conakry,Femme,24,731000,17,Prépayé,Non,Oui,49000,Carte bancaire,273,62,1,2513,54,1,1,6,"Utilisation standard, pas de souci majeur.",Oui
CLI00057,Conakry,Femme,28,876000,30,Prépayé,Non,Non,40000,Orange Money,236,159,3,2264,16,2,0,1,Service correct dans l'ensemble.,Non
CLI00058,Faranah,Femme,28,1128000,13,Prépayé,Non,Oui,38000,Orange Money,216,160,2,3620,24,0,0,1,Aucun probleme depuis mon inscription.,Non
CLI00059,Labé,Homme,36,588000,24,Prépayé,Non,Oui,37000,Carte bancaire,34,36,3,585,31,0,2,0,Tres satisfait du reseau et du service.,Non
CLI00060,Faranah,Homme,36,1459000,19,Postpayé,Non,Non,50000,Espèces,3,87,0,4622,25,0,1,4,Content de la couverture reseau dans ma zone.,Non
CLI00061,N'Zérékoré,Homme,37,738000,5,Prépayé,Non,Non,40000,Orange Money,136,25,1,846,0,3,0,2,Le forfait ne correspond plus a mes besoins.,Oui
CLI00062,Mamou,Homme,34,388000,11,Postpayé,Non,Non,12000,Orange Money,123,0,1,1807,23,2,0,0,"Utilisation standard, pas de souci majeur.",Non
CLI00063,Conakry,Femme,44,816000,5,Prépayé,Non,Oui,59000,Orange Money,180,136,2,2933,5,0,1,0,Rien de particulier a signaler.,Oui
CLI00064,Kindia,Femme,44,375000,42,Postpayé,Non,Non,20000,Orange Money,150,104,5,2975,14,1,2,0,Rien de particulier a signaler.,Non
CLI00065,Labé,Femme,29,1275000,4,Postpayé,Non,Oui,100000,Orange Money,213,90,1,3495,46,0,0,0,Content de la couverture reseau dans ma zone.,Non
CLI00066,Conakry,Homme,36,603000,14,Prépayé,Oui,Non,28000,Carte bancaire,159,134,50,3755,9,3,1,3,Offres interessantes et service fiable.,Non
CLI00067,N'Zérékoré,Homme,39,1312000,56,Illimité,Non,Oui,52000,Espèces,142,70,3,4496,29,1,1,0,"Bon rapport qualite prix, je recommande.",Non
CLI00068,N'Zérékoré,Homme,42,526000,14,Postpayé,Non,Oui,31000,Orange Money,238,109,5,2522,45,1,2,0,Service client reactif et efficace.,Non
CLI00069,Kankan,Femme,40,1341000,96,Prépayé,Non,Oui,43000,Espèces,186,80,0,4039,60,0,0,0,Service correct dans l'ensemble.,Non
CLI00070,Boké,Femme,31,493000,16,Prépayé,Non,Oui,35000,Orange Money,113,120,0,1268,18,2,0,0,Service correct dans l'ensemble.,Non
CLI00071,Kankan,Homme,31,1115000,44,Prépayé,Non,Oui,38000,Orange Money,188,128,5,5718,4,0,1,5,Aucun probleme depuis mon inscription.,Non
CLI00072,Conakry,Homme,35,1875000,16,Prépayé,Non,Oui,156000,Espèces,123,33,5,702,45,2,1,0,"Utilisation standard, pas de souci majeur.",Non
CLI00073,Kindia,Homme,40,1366000,10,Prépayé,Non,Oui,59000,Espèces,230,48,26,3475,39,0,0,2,Rien de particulier a signaler.,Non
CLI00074,Boké,Homme,23,300000,41,Postpayé,Non,Non,20000,Orange Money,178,97,2,3659,30,2,1,4,Service client reactif et efficace.,Non
CLI00075,Faranah,Femme,24,806000,1,Prépayé,Non,Non,58000,Espèces,131,66,3,3631,2,1,1,2,Service client reactif et efficace.,Non
CLI00076,Boké,Homme,30,1265000,5,Prépayé,Oui,Oui,86000,Espèces,265,60,67,1511,14,1,0,2,Aucun probleme depuis mon inscription.,Non
CLI00077,Conakry,Femme,35,1411000,51,Postpayé,Oui,Oui,50000,Espèces,71,73,65,968,1,0,1,0,Offres interessantes et service fiable.,Non
CLI00078,Kindia,Homme,27,1058000,72,Postpayé,Non,Non,33000,Orange Money,259,13,7,2002,2,2,0,14,Offres interessantes et service fiable.,Non
CLI00079,Kindia,Homme,30,615000,16,Prépayé,Non,Oui,32000,Orange Money,170,119,9,3550,2,0,0,0,Service correct dans l'ensemble.,Non
CLI00080,Kindia,Femme,25,380000,4,Prépayé,Oui,Non,14000,Orange Money,166,30,51,2276,38,1,0,0,Rien de particulier a signaler.,Non
CLI00081,Conakry,Femme,40,492000,77,Prépayé,Non,Non,15000,Orange Money,150,30,3,3242,35,4,0,0,Service correct dans l'ensemble.,Non
CLI00082,Kindia,Femme,18,303000,4,Prépayé,Non,Non,10000,Orange Money,168,7,0,3485,20,2,0,0,Facturation incorrecte plusieurs fois de suite.,Oui
CLI00083,Boké,Homme,34,795000,90,Prépayé,Non,Non,62000,Orange Money,260,115,2,340,27,1,0,7,Tres satisfait du reseau et du service.,Non
CLI00084,Kankan,Femme,27,308000,15,Prépayé,Non,Oui,15000,Orange Money,126,79,2,2167,51,0,1,0,Rien de particulier a signaler.,Non
CLI00085,Kankan,Homme,34,891000,26,Postpayé,Non,Non,30000,Espèces,126,138,1,1635,16,1,0,0,Offres interessantes et service fiable.,Non
CLI00086,Labé,Homme,36,964000,11,Postpayé,Oui,Non,71000,Orange Money,283,88,69,1529,16,3,0,6,Trop de coupures de reseau ces derniers temps.,Oui
CLI00087,Boké,Homme,18,1012000,12,Prépayé,Non,Oui,80000,Espèces,179,65,2,3262,7,1,2,5,Content de la couverture reseau dans ma zone.,Non
CLI00088,Kankan,Homme,46,804000,25,Prépayé,Non,Oui,30000,Orange Money,260,52,1,3285,6,3,1,2,Rien de particulier a signaler.,Oui
CLI00089,Kankan,Femme,42,1214000,1,Prépayé,Oui,Non,94000,Orange Money,154,102,72,968,20,0,1,5,Rien de particulier a signaler.,Oui
CLI00090,Mamou,Femme,51,722000,14,Prépayé,Non,Oui,35000,Espèces,40,139,8,1530,8,2,1,1,Offres interessantes et service fiable.,Non
CLI00091,Kankan,Homme,43,990000,3,Prépayé,Non,Non,63000,Espèces,165,89,0,3469,46,2,0,10,Tres decu par la qualite du reseau en ce moment.,Oui
CLI00092,N'Zérékoré,Femme,44,556000,4,Prépayé,Non,Non,39000,Carte bancaire,185,136,2,1980,52,1,0,2,"Je pense changer d'operateur, trop de pannes.",Oui
CLI00093,Conakry,Homme,40,554000,28,Prépayé,Non,Non,34000,Orange Money,258,79,3,4125,25,3,0,25,Trop cher par rapport a la qualite recue.,Oui
CLI00094,Kankan,Femme,51,920000,15,Postpayé,Non,Oui,31000,Orange Money,116,121,5,4471,11,0,0,2,Tres satisfait du reseau et du service.,Non
CLI00095,Conakry,Femme,20,757000,29,Illimité,Non,Oui,28000,Virement bancaire,126,92,2,936,1,2,0,0,Service client reactif et efficace.,Non
CLI00096,Boké,Homme,33,590000,72,Postpayé,Oui,Oui,43000,Orange Money,153,130,41,3621,36,1,1,5,Aucun probleme depuis mon inscription.,Non
CLI00097,Kankan,Femme,24,786000,11,Prépayé,Oui,Non,58000,Carte bancaire,188,40,54,2755,18,1,0,0,Tres satisfait du reseau et du service.,Non
CLI00098,Faranah,Femme,44,475000,20,Postpayé,Non,Non,29000,Orange Money,121,68,2,1901,9,1,1,0,Content de la couverture reseau dans ma zone.,Non
CLI00099,Conakry,Femme,37,842000,20,Postpayé,Non,Non,35000,Espèces,232,59,2,3809,22,1,0,1,Offres interessantes et service fiable.,Non
CLI00100,Mamou,Femme,52,868000,19,Prépayé,Oui,Oui,45000,Espèces,209,157,11,1171,23,0,1,0,"Utilisation standard, pas de souci majeur.",Non
CLI00101,Conakry,Femme,36,795000,10,Prépayé,Non,Non,24000,Orange Money,126,36,1,4073,32,0,1,2,Trop de coupures de reseau ces derniers temps.,Oui
CLI00102,Kindia,Homme,32,831000,18,Prépayé,Oui,Oui,42000,Orange Money,221,45,31,2667,52,0,0,4,Aucun probleme depuis mon inscription.,Non
CLI00103,Kankan,Femme,32,549000,32,Prépayé,Non,Oui,19000,Espèces,208,52,2,3330,114,0,0,7,Service client reactif et efficace.,Non
CLI00104,Boké,Femme,26,479000,15,Prépayé,Non,Oui,30000,Orange Money,175,100,1,2620,30,1,0,0,Tres satisfait du reseau et du service.,Non
CLI00105,Labé,Femme,18,433000,7,Postpayé,Non,Oui,19000,Espèces,199,76,12,3689,1,1,1,0,Rien de particulier a signaler.,Non
CLI00106,Faranah,Femme,34,611000,14,Illimité,Non,Oui,48000,Virement bancaire,176,56,6,2626,76,1,0,2,Aucun probleme depuis mon inscription.,Non
CLI00107,Kankan,Homme,30,484000,9,Illimité,Non,Oui,25000,Orange Money,69,57,0,5152,33,1,1,0,Content de la couverture reseau dans ma zone.,Non
CLI00108,Faranah,Femme,29,839000,17,Prépayé,Non,Oui,71000,Orange Money,120,116,0,2776,74,1,0,19,Trop cher par rapport a la qualite recue.,Oui
CLI00109,Conakry,Femme,22,675000,2,Postpayé,Non,Non,30000,Espèces,194,62,2,1485,11,0,2,3,Aucun probleme depuis mon inscription.,Non
CLI00110,Boké,Homme,35,300000,48,Postpayé,Non,Oui,24000,Carte bancaire,103,103,3,2936,6,0,0,1,Service correct dans l'ensemble.,Non
CLI00111,Boké,Homme,23,978000,1,Prépayé,Oui,Non,80000,Virement bancaire,216,45,34,98,7,2,0,4,Rien de particulier a signaler.,Non
CLI00112,Conakry,Femme,37,300000,57,Prépayé,Non,Oui,16000,Virement bancaire,287,127,1,1551,5,0,0,0,Tres satisfait du reseau et du service.,Non
CLI00113,Labé,Homme,32,1075000,1,Postpayé,Non,Non,38000,Orange Money,209,128,3,1837,35,1,3,0,Rien de particulier a signaler.,Non
CLI00114,Labé,Femme,31,630000,11,Prépayé,Non,Non,47000,Carte bancaire,111,89,2,3552,37,2,1,0,Aucun probleme depuis mon inscription.,Non
CLI00115,Kankan,Homme,18,409000,39,Prépayé,Non,Oui,26000,Espèces,234,38,2,2137,38,1,0,5,"Utilisation standard, pas de souci majeur.",Non
CLI00116,N'Zérékoré,Femme,38,506000,11,Prépayé,Non,Non,25000,Orange Money,127,69,1,412,16,1,1,1,Service correct dans l'ensemble.,Non
CLI00117,Conakry,Femme,44,937000,38,Prépayé,Non,Oui,81000,Espèces,215,86,2,3479,29,1,0,0,Tres satisfait du reseau et du service.,Non
CLI00118,Conakry,Homme,33,633000,20,Prépayé,Non,Oui,56000,Orange Money,193,84,3,2385,22,2,0,1,Content de la couverture reseau dans ma zone.,Non
CLI00119,Mamou,Femme,28,1742000,2,Postpayé,Non,Oui,109000,Carte bancaire,267,88,0,3230,12,2,1,3,"Je pense changer d'operateur, trop de pannes.",Oui
CLI00120,Conakry,Homme,41,750000,25,Postpayé,Non,Oui,63000,Espèces,178,81,2,2461,2,1,1,3,Content de la couverture reseau dans ma zone.,Non
CLI00121,Conakry,Homme,43,381000,1,Illimité,Non,Oui,13000,Orange Money,251,141,11,3055,5,1,0,5,Facturation incorrecte plusieurs fois de suite.,Oui
CLI00122,Labé,Homme,29,905000,2,Prépayé,Non,Oui,74000,Orange Money,177,72,2,3001,17,0,3,2,Service correct dans l'ensemble.,Oui
CLI00123,Conakry,Femme,64,860000,4,Postpayé,Non,Oui,50000,Orange Money,153,117,1,2269,2,0,0,0,Service correct dans l'ensemble.,Non
CLI00124,Kankan,Homme,48,1757000,5,Postpayé,Non,Non,97000,Virement bancaire,101,65,8,3559,12,0,0,11,Service client reactif et efficace.,Non
CLI00125,Kankan,Femme,50,325000,19,Prépayé,Non,Oui,18000,Orange Money,236,119,0,1984,11,0,0,1,Content de la couverture reseau dans ma zone.,Non
CLI00126,Conakry,Homme,39,657000,9,Prépayé,Non,Oui,34000,Carte bancaire,33,38,2,3529,26,1,1,2,"Utilisation standard, pas de souci majeur.",Non
CLI00127,Labé,Femme,38,399000,49,Prépayé,Oui,Oui,19000,Virement bancaire,217,39,0,3560,0,2,1,2,Service correct dans l'ensemble.,Non
CLI00128,Kankan,Homme,23,856000,30,Postpayé,Non,Oui,34000,Orange Money,156,169,0,1494,43,1,0,0,Offres interessantes et service fiable.,Non
CLI00129,N'Zérékoré,Femme,31,371000,47,Prépayé,Non,Oui,31000,Orange Money,242,54,2,1973,7,0,1,0,Offres interessantes et service fiable.,Non
CLI00130,Conakry,Femme,35,553000,7,Postpayé,Non,Non,45000,Orange Money,180,115,0,2447,4,1,0,5,Offres interessantes et service fiable.,Non
CLI00131,Conakry,Homme,42,925000,13,Illimité,Oui,Non,52000,Orange Money,286,78,38,2370,77,0,1,1,"Utilisation standard, pas de souci majeur.",Non
CLI00132,Kankan,Homme,29,1142000,3,Illimité,Oui,Non,76000,Orange Money,169,151,45,872,3,1,1,0,Tres satisfait du reseau et du service.,Non
CLI00133,N'Zérékoré,Homme,25,579000,2,Prépayé,Non,Oui,39000,Espèces,235,173,1,4869,19,1,0,0,Tres satisfait du reseau et du service.,Non
CLI00134,Conakry,Femme,47,342000,8,Prépayé,Non,Non,26000,Orange Money,195,52,6,2187,19,1,2,0,"Utilisation standard, pas de souci majeur.",Non
CLI00135,Boké,Homme,35,449000,37,Prépayé,Non,Non,34000,Espèces,150,129,0,2608,3,1,2,0,Content de la couverture reseau dans ma zone.,Non
CLI00136,Faranah,Femme,44,382000,18,Postpayé,Oui,Non,33000,Orange Money,144,131,24,2455,32,0,0,4,Service client reactif et efficace.,Non
CLI00137,Kankan,Femme,35,685000,13,Postpayé,Non,Oui,32000,Espèces,159,108,5,3148,19,1,0,2,Content de la couverture reseau dans ma zone.,Non
CLI00138,Conakry,Homme,28,603000,32,Postpayé,Non,Oui,44000,Orange Money,189,20,3,1421,36,1,0,6,"Utilisation standard, pas de souci majeur.",Non
CLI00139,Mamou,Femme,34,608000,4,Prépayé,Non,Oui,41000,Orange Money,195,56,1,2725,51,0,1,0,Aucun probleme depuis mon inscription.,Non
CLI00140,Kankan,Femme,18,491000,52,Prépayé,Oui,Oui,42000,Espèces,229,89,61,1837,4,0,1,1,Offres interessantes et service fiable.,Non
CLI00141,Labé,Femme,45,570000,13,Postpayé,Non,Non,31000,Orange Money,226,109,1,2028,21,2,1,0,Tres decu par la qualite du reseau en ce moment.,Oui
CLI00142,Conakry,Homme,40,979000,19,Prépayé,Non,Oui,53000,Orange Money,214,79,4,896,73,3,1,0,Aucun probleme depuis mon inscription.,Non
CLI00143,Conakry,Homme,47,604000,2,Prépayé,Non,Oui,52000,Virement bancaire,150,144,2,3682,9,2,0,1,Aucun probleme depuis mon inscription.,Non
CLI00144,Conakry,Homme,32,936000,25,Prépayé,Non,Non,58000,Virement bancaire,191,0,2,2504,49,2,1,2,Service correct dans l'ensemble.,Oui
CLI00145,Kankan,Homme,56,885000,56,Prépayé,Non,Oui,54000,Orange Money,166,77,2,2012,12,1,0,3,Aucun probleme depuis mon inscription.,Non
CLI00146,Conakry,Homme,47,1261000,10,Illimité,Oui,Oui,88000,Carte bancaire,117,77,25,2637,47,1,1,1,Tres satisfait du reseau et du service.,Non
CLI00147,Conakry,Femme,18,896000,24,Illimité,Oui,Oui,47000,Orange Money,244,75,54,4130,11,1,1,0,Tres satisfait du reseau et du service.,Non
CLI00148,Kindia,Homme,18,405000,40,Prépayé,Non,Oui,21000,Orange Money,133,83,2,1012,19,1,1,15,"Bon rapport qualite prix, je recommande.",Non
CLI00149,Conakry,Femme,37,367000,70,Postpayé,Non,Oui,32000,Orange Money,254,138,5,1965,26,1,1,12,Aucun probleme depuis mon inscription.,Non
CLI00150,Conakry,Femme,19,587000,32,Prépayé,Oui,Non,40000,Espèces,196,92,23,3956,37,2,0,3,Trop de coupures de reseau ces derniers temps.,Oui
CLI00151,Conakry,Homme,32,639000,5,Prépayé,Non,Oui,36000,Orange Money,199,68,9,3379,16,2,1,0,Tres satisfait du reseau et du service.,Non
CLI00152,Labé,Homme,32,392000,6,Prépayé,Non,Oui,16000,Orange Money,210,66,8,50,25,1,1,2,Tres decu par la qualite du reseau en ce moment.,Oui
CLI00153,Faranah,Femme,31,697000,40,Prépayé,Non,Non,56000,Espèces,132,62,3,3644,16,0,0,2,Aucun probleme depuis mon inscription.,Non
CLI00154,Boké,Homme,50,782000,57,Postpayé,Non,Non,47000,Espèces,268,144,0,2456,6,0,1,6,Service client reactif et efficace.,Non
CLI00155,Conakry,Homme,40,1274000,12,Prépayé,Oui,Oui,109000,Espèces,191,113,35,1342,1,1,0,0,Rien de particulier a signaler.,Non
CLI00156,Kindia,Femme,41,672000,60,Prépayé,Non,Oui,27000,Espèces,212,0,1,3841,18,1,1,0,Facturation incorrecte plusieurs fois de suite.,Oui
CLI00157,Labé,Homme,37,352000,8,Postpayé,Non,Oui,28000,Espèces,222,68,1,1502,2,2,1,4,Aucun probleme depuis mon inscription.,Non
CLI00158,N'Zérékoré,Homme,66,346000,2,Postpayé,Oui,Oui,22000,Virement bancaire,257,49,37,2453,36,1,2,1,Offres interessantes et service fiable.,Non
CLI00159,N'Zérékoré,Femme,49,447000,5,Postpayé,Non,Oui,32000,Orange Money,243,46,0,2053,5,2,0,3,"Utilisation standard, pas de souci majeur.",Oui
CLI00160,Conakry,Homme,27,2857000,66,Prépayé,Non,Non,159000,Orange Money,222,94,8,1678,59,0,1,0,Aucune reponse a mes reclamations depuis un mois.,Oui
CLI00161,Conakry,Homme,40,643000,23,Illimité,Non,Non,33000,Espèces,186,99,6,2767,27,2,0,0,Offres interessantes et service fiable.,Non
CLI00162,Kankan,Homme,26,736000,8,Prépayé,Non,Non,43000,Orange Money,324,144,3,3196,0,2,0,6,Aucun probleme depuis mon inscription.,Non
CLI00163,N'Zérékoré,Homme,32,447000,16,Prépayé,Oui,Non,35000,Espèces,203,94,37,937,70,2,1,0,Service correct dans l'ensemble.,Oui
CLI00164,Boké,Femme,33,1143000,1,Illimité,Non,Oui,60000,Orange Money,167,71,4,4614,29,0,1,0,Tres satisfait du reseau et du service.,Non
CLI00165,Kankan,Femme,19,460000,20,Prépayé,Non,Oui,30000,Virement bancaire,295,102,2,2872,10,0,0,2,Service correct dans l'ensemble.,Non
CLI00166,Kankan,Homme,18,446000,19,Prépayé,Non,Oui,33000,Virement bancaire,82,80,5,2496,8,1,0,15,Facturation incorrecte plusieurs fois de suite.,Oui
CLI00167,Labé,Homme,21,852000,18,Prépayé,Non,Non,53000,Espèces,253,105,3,3057,26,3,2,20,Rien de particulier a signaler.,Oui
CLI00168,Kankan,Femme,40,589000,10,Prépayé,Non,Oui,20000,Orange Money,129,84,4,1851,14,0,0,1,"Bon rapport qualite prix, je recommande.",Non
CLI00169,Conakry,Homme,18,2248000,48,Prépayé,Non,Non,145000,Espèces,183,92,2,2760,7,2,0,0,Rien de particulier a signaler.,Non
CLI00170,Conakry,Homme,41,592000,1,Prépayé,Non,Non,39000,Orange Money,107,138,0,4487,12,0,0,3,Tres satisfait du reseau et du service.,Non
